ID;age_months;age_years;Gender;Condition;Manipulation_check_ch1;Manipulation_check_ch2;Within1_ch1;Within1_ch2;Choice_within1;Within2_ch1;Within2_ch2;Choice_within2;Between1_ch1;Between1_ch2;Choice_between1;Between2_ch1;Between2_ch2;Choice_between2;Liking_ch1;Liking_ch2;Be_friend;within1;within2;between1;between2
37;113;9;2;2;5;4;5;2;1;5;3;1;4;4;2;4;4;2;3;4;2;5;2,5;4;4
7;113;9;1;2;5;4;5;1;1;5;3;1;4;4;2;4;4;1;3;3;1;5;2;4;4
75;118;9;1;2;4;3;5;2;1;5;3;1;3;3;2;3;3;2;5;3;1;5;2,5;3;3
76;121;9;2;2;5;2;4;2;1;5;2;1;3;3;2;2;2;2;4;3;1;4,5;2;2,5;2,5
1;56;5;1;2;5;4;5;1;1;6;3;1;3;3;1;4;4;1;5;3;1;5,5;2;3,5;3,5
62;58;5;2;2;5;4;5;2;1;5;2;1;1;1;1;2;2;1;4;4;2;5;2;1,5;1,5
61;59;5;2;2;5;3;5;2;1;4;2;1;2;2;1;2;2;1;5;3;1;4,5;2;2;2
4;60;5;1;2;5;3;5;3;1;5;3;2;5;2;1;2;2;1;4;3;1;5;3;3,5;2
51;60;5;1;2;5;4;5;2;1;6;2;1;6;2;2;2;2;1;4;4;2;5,5;2;4;2
23;61;5;1;2;5;4;5;2;1;5;2;1;5;4;1;5;2;1;4;4;1;5;2;5;3
78;62;5;1;2;5;2;5;3;1;4;3;1;2;2;1;2;2;1;5;4;1;4,5;3;2;2
24;63;5;2;2;4;3;4;2;1;5;2;1;2;2;1;4;2;1;3;5;2;4,5;2;3;2
68;64;5;1;2;4;3;5;2;1;5;1;1;5;3;1;3;3;1;3;5;2;5;1,5;4;3
84;65;5;2;2;5;3;5;3;1;5;3;1;5;2;1;6;2;5;5;4;1;5;3;5,5;2
2;67;6;2;2;5;2;5;3;1;5;1;1;6;4;2;4;4;2;4;3;1;5;2;5;4
43;74;6;1;2;5;1;5;3;1;5;2;1;4;4;1;4;4;1;4;3;1;5;2,5;4;4
87;75;5;2;2;4;3;5;1;2;5;1;1;5;1;1;5;2;3;3;4;1;5;1;5;1,5
21;77;6;2;2;5;3;5;2;1;5;3;1;6;2;2;2;2;1;5;4;1;5;2,5;4;2
